"propertyId","rentPrice","area","bathrooms","rooms","garages","latitude","longitude","address","suites","rentPeriodId","condominiumPrice","iptu"
"66354284","412",NA,"2","2","1","-27.422163","-48.403668","Rua das Gaivotas","1","DAY",NA,NA
"66354266","385",NA,"2","2","0","-48.404517","-27.417871","Rua das Gaivotas","1","DAY",NA,NA
"66354262","500",NA,"2","2","1","-48.400547","-27.424652","Rua das Gaivotas","1","DAY",NA,NA
"66354261","475",NA,"2","2","1","-48.402543","-27.421547","Rua das Gaivotas","1","DAY",NA,NA
"66354150","305",NA,"1","1","1","-48.401774","-27.42329","Rua das Gaivotas","0","DAY",NA,NA
"60912618","700","110","3","3","2","-27.242339","-50.218856","Armando Calil Bulos, 6585","2","DAY","0","1"
"56918473","350","110","2","2","1","-27.242339","-50.218856","Armando Calil Bulos, 6585","1","DAY","1","1"
"57909797","350","110","1","2","1","-27.242339","-50.218856","Armando Calil Bulos, 6585","0","DAY","1","1"
"64684510","950","86","2","3","1","-27.5932366","-48.5437358","Rua Almirante Lamego","0","MON","521",NA
"65391708","1650","49","1","2","1","-27.5989497","-48.5262256","RUA PROFESSOR MILTON SULLIVAN","0","MON","283",NA
"65476971","900","61","1","2","1","-27.6055556","-48.5947222","Rua Médico Miguel Salles Cavalcanti","0","MON","251",NA
"64684278","2200","102","3","3","1","-27.5932366","-48.5437358","Rua Henrique Bruggemann","1","MON","861",NA
"65159250","2000","109","3","3","2","-27.5795331","-48.5825281","Rua São José","1","MON","483",NA
"64684121","1300","59","1","2","1","-27.5859781","-48.5237246","Rua Marcus Aurélio Homem","0","MON","462",NA
"64802258","900",NA,"1","2","1","-27.5944444","-48.5752778","Rua Quatorze de Julho","0","MON","486",NA
"64991912","1400","69","1","2","1","-27.6097939","-48.5162223","Rua Deputado Antônio Edu Vieira","0","MON","284",NA
"64684136","1800","75","2","2","2","-27.6013372","-48.5062207","RUA FRITZ PLAUMANN","1","MON","420",NA
"64995708","2300","89","2","3","1","-27.5932366","-48.5437358","Rua Desembargador Urbâno Sales","1","MON","451",NA
"65785375","900","50","1","2","1","-27.6130556","-48.5897222","Rua João Meirelles","0","MON","191",NA
"65163877","1700","74","2","2","2","-27.6127778","-48.5947222","Rua Fernando Ferreira de Mello","1","MON","541",NA
"64873402","600","42","1","1","0","-27.6607991","-48.5437358","Servidão Ildefonso Caetano Melo","0","MON","75",NA
"63869519","1800",NA,"2","3","1","-27.578449","-48.5362308","Rua Joaquim Costa","1","MON","698","143"
"62887344","2200","84","2","2","0","-27.5932366","-48.5437358","Rua Almirante Lamego","1","MON","723","155"
